"With respect to the abortion issue, would you consider yourself to be pro-choice or pro-life?",,,,,
Trend from polls in which pro-life/pro-choice was asked after question on legality of abortion,,,,,
,Pro-choice,Pro-life,Mixed/Neither (vol.),Don't know what terms mean (vol.),No opinion
,%,%,%,%,%
2022 May 2-22,55,39,4,1,*
2021 May 3-18,49,47,2,1,1
2020 May 1-13,48,46,4,2,*
2019 May 1-12,46,49,2,2,2
2018 May 1-10,48,48,2,2,1
2017 May 3-7,49,46,2,2,1
2016 May 4-8,47,46,3,3,2
2015 May 6-10,50,44,3,2,1
2014 May 8-11,47,46,3,3,*
2013 May 2-7,45,48,3,3,2
2012 Dec 27-30,48,44,3,4,1
2012 May 3-6,41,50,4,3,3
2011 Jul 15-17,47,47,2,3,1
2011 Jun 9-12,46,48,2,3,2
2011 May 5-8,49,45,3,2,2
2010 May 3-6,45,47,2,4,3
2009 Jul 17-19,46,47,3,2,2
2009 May 7-10,42,51,2,4,1
2008 May 8-11,50,44,1,2,2
2007 May 10-13,49,45,3,2,2
2006 May 8-11,51,41,4,2,3
2005 May 2-5,48,44,3,3,2
2004 May 2-4,49,44,2,3,2
2003 Oct 24-26,48,45,3,3,1
2003 May 5-7,48,45,2,4,1
2002 May 6-9,47,46,3,3,1
2001 Aug 10-12,46,46,3,3,2
2001 May 10-14,48,42,4,4,2
2001 Mar 26-28,47,41,4,6,2
2000 Mar 30-Apr 2,48,43,2,4,3
1999 Apr 30-May 2,48,42,3,4,3
1998 Jan 16-18,48,45,3,2,2
1997 Nov 6-9,51,40,3,3,3
1997 Aug 12-13,47,44,3,3,3
1996 Jul 25-28,53,36,5,3,3
1995 Sep 22-24,56,33,5,3,3
