"With respect to the abortion issue, would you consider yourself to be pro-choice or pro-life?",,,,,
Trend from polls in which pro-life/pro-choice was NOT asked after questions on legality of abortion,,,,,
,Pro-choice,Pro-life,Mixed/Neither (vol.),Don't know what terms mean (vol.),No opinion
,%,%,%,%,%
2019 Jun 3-16,52,43,4,1,*
2018 Jun 1-13,49,45,3,1,2
2015 Oct 7-11,49,44,2,2,2
2012 Sep 24-27,47,46,3,2,2
2010 Mar 26-28,45,46,4,2,3
2009 Nov 20-22,48,45,2,2,3
2008 Sep 5-7,51,43,2,1,3
2007 Jun 11-14,51,43,2,2,2
2007 Jun 1-3,52,39,4,2,2
2006 Jan 6-8,53,42,1,2,2
2005 Aug 28-30,54,38,3,2,3
2005 Jul 22-24,51,42,3,3,1
2004 Oct 14-16,52,41,2,3,2
2001 Aug 3-5,52,39,4,3,2
2001 Jul 10-11,50,40,4,3,3
2001 Feb 9-11,55,38,5,1,1
2000 Oct 6-9,47,45,3,2,3
2000 Jul 14-16,50,40,4,2,4
1996 Jul 18-21,48,40,5,4,3
1996 Mar 15-17,56,37,3,2,2
