"Thinking more generally, do you think abortion should generally be legal or generally illegal during each of the following stages of pregnancy. How about -- [RANDOM ORDER]?",,,,
,Should be legal,Should be illegal,Depends (vol.),No opinion
,%,%,%,%
In the first three months of pregnancy,,,,
2022 May 2-22,67,27,5,2
2018 May 1-10,60,34,4,1
2012 Dec 27-30,61,31,6,3
2011 Jun 9-12,62,35,2,1
2003 Jan 10-12,66,29,3,2
2000 Mar 30-Apr 2,65,31,2,2
1996 Jul 25-26,64,30,4,2
In the second three months of pregnancy,,,,
2022 May 2-22,36,55,7,2
2018 May 1-10,28,65,4,2
2012 Dec 27-30,27,64,5,4
2011 Jun 9-12,24,71,3,2
2003 Jan 10-12,25,68,4,3
2000 Mar 30-Apr 2,24,69,4,3
1996 Jul 25-26,26,65,7,2
In the last three months of pregnancy,,,,
2022 May 2-22,20,71,8,1
2018 May 1-10,13,81,4,2
2012 Dec 27-30,14,80,4,2
2011 Jun 9-12,10,86,2,1
2003 Jan 10-12,10,84,4,2
2000 Mar 30-Apr 2,8,86,3,3
1996 Jul 25-26,13,82,3,2
