"Thinking about how the abortion issue might affect your vote for major offices, would you -- [ROTATED: only vote for a candidate who shares your views on abortion (or) consider a candidate's position on abortion as just one of many important factors (or) not see abortion as a major issue]?",,,,
,Candidate must share views,One of many important factors,Not a major issue,No opinion
,%,%,%,%
Registered voters,,,,
2022 May 2-22,27,54,16,3
2020 May 1-13,24,50,25,2
2019 Jun 3-16,27,48,24,1
2016 May 4-8,20,51,27,3
2015 May 6-10,19,49,28,4
2014 May 8-11,19,49,27,4
2012 Sep 24-27,17,45,34,4
2007 May 10-13,16,60,23,2
2004 Oct 14-16,17,46,35,2
2004 May 2-4,14,46,39,1
2001 May 10-14,21,52,25,2
2000 Mar 30-Apr 2,14,52,32,2
1999 Apr 30-May 2,19,52,26,3
1996 Jul 25-28,15,53,30,2
1996 Jul 18-21,17,50,30,4
1992 Jun 29,13,46,36,5
National adults,,,,
2022 May 2-22,29,51,16,4
2020 May 1-13,24,47,25,4
2019 Jun 3-16,29,44,26,1
2016 May 4-8,20,49,28,4
2015 May 6-10,21,46,27,5
2014 May 8-11,19,48,28,6
2012 Sep 24-27,18,44,33,5
2008 May 8-11,13,49,37,2
2007 May 10-13,16,59,23,3
2004 Oct 14-16,17,46,35,2
2004 May 2-4,14,45,39,2
2001 May 10-14,20,51,27,2
2000 Mar 30-Apr 2,15,49,33,3
1999 Apr 30-May 2,19,51,27,3
1996 Jul 25-28,16,51,30,3
1996 Jul 18-21,18,48,30,4
