"Next, I'm going to read you a list of issues. Regardless of whether or not you think it should be legal, for each one, please tell me whether you personally believe that in general it is morally acceptable or morally wrong. How about abortion?",,,,,
,Morally acceptable,Morally wrong,Depends on situation (vol.),Not a moral issue (vol.),No opinion
,%,%,%,%,%
2022 May 2-22,52,38,9,*,1
2021 May 3-18,47,46,6,*,1
2020 May 1-13,44,47,9,*,1
2019 May 1-12,42,50,6,*,1
2018 May 1-10,43,48,7,--,1
2017 May 3-7,43,49,7,*,2
2016 May 4-8,43,47,9,*,2
2015 May 6-10,45,45,8,1,1
2014 May 8-11,42,48,8,*,1
2013 May 2-7,42,49,8,*,2
2012 May 3-6,38,51,9,*,2
2011 May 5-8,39,51,7,*,3
2010 May 3-6,38,50,9,*,3
2009 May 7-10,36,56,6,*,1
2008 May 8-11,40,48,10,*,2
2007 May 10-13,40,51,7,*,1
2006 May 8-11,43,44,11,*,2
2005 May 2-5,40,51,8,-,1
2004 May 2-4,40,50,8,*,2
2003 May 5-7,37,53,9,*,1
2002 May 6-9,38,53,8,*,1
2001 May 10-14,42,45,11,1,1
*Less than 0.5%; (vol.) = Volunteered response,,,,,
