"Next, we'd like to know how you feel about the state of the nation in each of the following areas. For each one, please say whether you are -- very satisfied, somewhat satisfied, somewhat dissatisfied or very dissatisfied. If you don't have enough information about a particular subject to rate it, just say so. How about -- the nation's policies regarding the abortion issue?",,,,,
,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Very dissatisfied,No opinion
,%,%,%,%,%
2022,4,20,25,41,9
2021,8,25,25,30,12
2020,8,24,26,32,9
2019,9,27,23,28,13
2018,10,27,24,27,12
2017,11,28,24,24,13
2016,9,24,22,33,11
2015,10,24,24,24,18
2014,10,28,19,27,17
2013,12,32,21,25,11
2012,10,29,21,25,15
2008,12,31,23,20,13
2007,12,29,22,25,12
2006,11,29,22,26,12
2005,13,29,21,26,11
2004,12,33,22,24,9
2003,10,32,24,22,12
2002,11,37,19,24,9
2001,11,32,21,26,10
